id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
0,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,242.12,64-1000000-4-oltp_read_only-0.2
1,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,267.21,64-1000000-4-oltp_read_only-0.2
2,1GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,284.5,64-1000000-4-oltp_read_only-0.2
3,1GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,291.14,64-1000000-4-oltp_read_only-0.2
4,2GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,309.92,64-1000000-4-oltp_read_only-0.2
5,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,313.24,64-1000000-4-oltp_read_only-0.2
6,2GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,311.2,64-1000000-4-oltp_read_only-0.2
7,2GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,312.42,64-1000000-4-oltp_read_only-0.2
8,3GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,333.67,64-1000000-4-oltp_read_only-0.2
9,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,332.86,64-1000000-4-oltp_read_only-0.2
10,3GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,334.89,64-1000000-4-oltp_read_only-0.2
11,3GB,7,2,1,ON,1,1024,1,25,100,48MB,4000,332.47,64-1000000-4-oltp_read_only-0.2
12,4GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,358.18,64-1000000-4-oltp_read_only-0.2
13,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,360.1,64-1000000-4-oltp_read_only-0.2
14,4GB,3,2,1,ON,1,1024,1,25,100,48MB,4000,349.5,64-1000000-4-oltp_read_only-0.2
